datetime,filename,exported,new,updated,skipped,exif_updated,touched,converted_to_jpeg,sidecar_xmp,sidecar_json,sidecar_exiftool,missing,error,exiftool_warning,exiftool_error,extended_attributes_written,extended_attributes_skipped,cleanup_deleted_file,cleanup_deleted_directory,exported_album,sidecar_user,sidecar_user_error,user_written,user_skipped,user_error
2024-06-23T11:37:17.044748,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-17-154525_IMG_2170 (1).JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.081169,/Users/sglavoie/Pictures/export/2023/12/Pregnancy_Yuna/2023-12-07-170624_IMG_1342.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.084452,/Users/sglavoie/Pictures/export/2023/12/2023-12-24-174640_IMG_1378.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.087223,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-08-144549_IMG_0644.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.090937,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-17-135545_IMG_0753.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.093397,/Users/sglavoie/Pictures/export/2023/11/Pregnancy_Yuna/2023-11-11-170624_IMG_1254.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.096039,/Users/sglavoie/Pictures/export/2023/11/Pregnancy_Yuna/2023-11-23-093858_IMG_1325.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.098347,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-11-180449_IMG_2123.mov,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.098347,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-11-180449_IMG_2123.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.101877,/Users/sglavoie/Pictures/export/2024/06/Yuna/2024-06-21-194141_IMG_2813.HEIC,1,1,0,0,1,0,0,0,0,0,0,,Warning: [minor] Fixed incorrect list type for XMP-mwg-rs:RegionList - /var/folders/mc/25t2byrs7t16078dydbdpr300000gn/T/osxphotos_export_m56uevqt/IMG_2813_exiftool.HEIC,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:17.101877,/Users/sglavoie/Pictures/export/2024/06/Yuna/2024-06-21-194141_IMG_2813_edited.heic,1,1,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:19.180862,/Users/sglavoie/Pictures/export/2023/11/Pregnancy_Yuna/2023-11-11-161538_IMG_1224.MOV,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:19.184841,/Users/sglavoie/Pictures/export/2024/06/Yuna/2024-06-02-172109_IMG_5260_edited.mov,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:19.184841,/Users/sglavoie/Pictures/export/2024/06/Yuna/2024-06-02-172109_IMG_5260 (2).mov,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.089879,/Users/sglavoie/Pictures/export/2023/11/Pregnancy_Yuna/2023-11-11-171159_IMG_1316.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.092873,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-21-083730_IMG_2548.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.095975,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-21-144042_IMG_2283.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.098634,/Users/sglavoie/Pictures/export/2022/01/2022-01-01-002629_IMG_0142.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.101459,/Users/sglavoie/Pictures/export/2024/03/Yuna/2024-03-24-075850_IMG_1998.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.104018,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-29-080036_IMG_2326.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.106450,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-08-144554_IMG_0648.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.109124,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-19-233751_417eb646-d96c-41c5-b3a2-c50157588a1f.jpg,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.111008,/Users/sglavoie/Pictures/export/2023/04/2023-04-09-101609_IMG_0897.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.113002,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-21-143621_IMG_2252.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.115204,/Users/sglavoie/Pictures/export/2024/03/Pregnancy_Yuna/2024-03-12-155401_IMG_1875.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.117992,/Users/sglavoie/Pictures/export/2024/04/Yuna/2024-04-29-123736_IMG_4870.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.119760,/Users/sglavoie/Pictures/export/2022/12/San_Diego_Yuna/2022-12-09-105941_IMG_0656.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.121982,/Users/sglavoie/Pictures/export/2022/03/Marriage/2022-03-28-151510_IMG_0265.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.124895,/Users/sglavoie/Pictures/export/2021/12/2021-12-31-212945_IMG_0129.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.127020,/Users/sglavoie/Pictures/export/2023/12/2023-12-24-223731_IMG_1421.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.129284,/Users/sglavoie/Pictures/export/2022/08/2022-08-07-152121_IMG_0420.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.131950,/Users/sglavoie/Pictures/export/2024/03/Yuna/2024-03-23-125112_IMG_1988.JPG,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
2024-06-23T11:37:28.134214,/Users/sglavoie/Pictures/export/2024/05/Yuna/2024-05-21-083735_IMG_2550.HEIC,0,0,0,1,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,0,
